"No.","Ticker","Sector","Industry","Market Cap","P/E","Float %","Insider Transactions","Institutional Transactions","Short Float","Performance (Week)","Performance (Month)","Performance (YTD)","Beta","Average True Range","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","52-Week Range","Relative Strength Index (14)","Earnings Date","Gap","Analyst Recom","Average Volume","Relative Volume","Volume","Price","Change","After-Hours Close"
57,"PGY","Technology","Software - Infrastructure",2660.23,,66.47%,-5.86%,4.05%,25.40%,-17.91%,0.04%,273.79%,5.96,2.60,0.69%,87.43%,-22.82%,323.48%,8.20 - 44.99,43.44,8/7/2025 8:30:00 AM,0.69%,1.20,3698.95,1.50,1008361,34.72,-0.16%,
58,"POET","Technology","Semiconductors",546.01,,98.80%,0.00%,5.62%,6.88%,16.64%,11.87%,1.15%,0.39,0.40,9.24%,24.17%,-22.74%,94.78%,3.09 - 7.79,62.78,8/11/2025 4:30:00 PM,6.46%,1.00,2381.00,4.21,1817889,6.02,-2.77%,
59,"PPTA","Basic Materials","Other Precious Metals & Mining",2304.15,,99.35%,,137.61%,8.31%,16.99%,15.10%,100.75%,0.11,1.22,22.40%,58.24%,7.96%,174.26%,7.81 - 19.84,72.30,8/14/2025 8:30:00 AM,4.16%,1.00,2648.44,8.90,4280494,21.42,12.74%,
60,"PSLV","Financial","Asset Management",8630.56,6.72,100.00%,,,1.27%,5.95%,17.40%,58.76%,0.34,0.26,13.84%,31.19%,1.19%,59.58%,9.60 - 15.14,76.19,,0.60%,,28686.04,2.06,10752784,15.32,1.32%,
61,"QBTS","Technology","Computer Hardware",9058.35,,97.08%,-14.02%,68.47%,19.17%,-1.47%,73.90%,215.30%,1.44,1.90,43.94%,124.31%,-9.24%,2935.88%,0.87 - 29.18,73.27,8/7/2025 8:30:00 AM,0.15%,1.00,45253.02,2.71,22276541,26.49,0.55%,
62,"QUBT","Technology","Computer Hardware",3393.11,,82.24%,-6.87%,155.37%,21.07%,-8.80%,43.30%,28.23%,3.88,1.90,27.60%,69.66%,-21.83%,3220.67%,0.64 - 27.15,63.22,8/14/2025 4:30:00 PM,-0.10%,1.67,22364.48,5.62,22811786,21.22,3.12%,
63,"QURE","Healthcare","Biotechnology",2776.81,,89.32%,-0.38%,10.77%,16.88%,264.89%,221.33%,186.58%,0.27,3.92,191.95%,240.64%,-7.95%,1037.30%,4.45 - 54.98,87.49,7/29/2025 8:30:00 AM,-3.30%,1.14,2480.97,8.55,3851665,50.61,-3.87%,
64,"RDW","Industrials","Aerospace & Defense",1261.79,,71.89%,-20.72%,72.83%,12.84%,10.19%,-2.56%,-46.78%,2.49,0.67,-17.91%,-36.40%,-67.14%,37.30%,6.38 - 26.66,45.71,8/6/2025 4:30:00 PM,0.78%,1.56,5025.36,1.68,1535839,8.76,-2.23%,
65,"RGTI","Technology","Computer Hardware",10207.96,,97.93%,-23.32%,34.43%,14.38%,10.41%,104.61%,106.36%,1.55,2.39,74.96%,147.20%,-8.46%,4243.45%,0.73 - 34.40,85.17,8/12/2025 4:30:00 PM,0.19%,1.12,50657.75,4.00,36808458,31.49,-1.90%,
66,"RIO","Basic Materials","Other Industrial Metals & Mining",81091.65,10.26,100.00%,,-1.17%,0.51%,3.67%,4.12%,9.96%,0.67,1.08,3.85%,6.42%,-10.28%,25.16%,51.67 - 72.08,59.73,7/30/2025 8:30:00 AM,-0.69%,2.00,3418.44,2.64,1635776,64.67,-1.16%,
